Date,Retweets,Replies,Likes,Quotes,Tweet
2020-11-18T01:16:43.000Z,0,0,0,0,"@catlady7711 COVID can't hold a candle to SARS... we weren't any less intelligent or prepared a year and a half ago, or ten years ago. We've been dealing with pandemics for a long time... and researching them, preparing for them. This is not how you do it. It's all wrong: masks, lockdowns..."
2020-11-18T01:16:43.000Z,0,0,0,0,@WatchMyReview @BrightRedStool @ballard_curse He could he’s had a good first few seasons with a set back last year. Injury and Covid he asked should we even play.
2020-11-18T01:16:43.000Z,0,0,1,0,"Supporting #COVID19 safety amidst #homelessness: $150,000 grant from Kaiser Permanente to Housing Matters in Santa Cruz. Part of our initiative to support stable housing as  a determinant of #health   Read:

https://t.co/bheiEiEdkJ"
2020-11-18T01:16:43.000Z,0,0,0,0,literally his tantrum is causing people’s deaths https://t.co/964NlJsvts
2020-11-18T01:16:43.000Z,0,0,0,0,"@CBCNews And, ZERO in Alberta....  imagine that.  🤦‍♂️ but then again, everything gets identified by a fraudulent test as Covid-19."
2020-11-18T01:16:43.000Z,0,0,0,0,"The Trump Official Who Hasn't ""Ascertained"" Biden Won the Election Is Looking for a New Job - Mother Jones ⁦@GSAEmily⁩ needs to do her job to not only secure national security but to handle Covid! She’s a #Hypocrite typical GOP! https://t.co/pi5drPNnrv"
2020-11-18T01:16:43.000Z,0,0,2,0,Well i was just tested for covid now i got 14 days of quarantine team project?
2020-11-18T01:16:42.000Z,0,0,0,0,"@TDennisSportTog @lancelahnert @806hssc @TexasAthlete806 @TXHSathletics @PressPassSports Prayers for your lungs to rally and kick COVID’s ass, Tim! 🙏🙏🙏🙏"
2020-11-18T01:16:42.000Z,0,0,0,0,"Chuck Grassley, the second-oldest U.S. Senator and third in the line of succession for the presidency, has tested positive for the coronavirus https://t.co/BJwL9OPnsg"
2020-11-18T01:16:42.000Z,0,0,0,0,"Since I'm working 7 days a week with COVID can I cash in my sick time?

In my job I've never understood why I get sick time but not vacation time. Even when I'm too sick to teach, I'm sitting at home sending emails, making adjustments to the class, probably working on research"
2020-11-18T01:16:42.000Z,0,0,0,0,"@SenatorTimScott @SenateGOP @ChuckGrassley .
Pass a covid relief bill to help the people (not just corporations &amp; rich)

have some compassion for all of us
54 million are starving
40 million losing homes
30 million unemployed

get back to negotiating the bill
do you realize how evil this is?
@senatemajldr @SpeakerPelosi"
2020-11-18T01:16:42.000Z,0,0,1,0,The covid will be used to turn what's left of the US into a police state. Democrats are fascist nazis.
2020-11-18T01:16:41.000Z,1,0,0,0,"Amazing! The Senate vote was literally saved by Kamala and Covid! 2 Senators were absent due to covid quarantine. After the Rs go home for Thanksgiving gatherings, I predict Dems will have a Senate majority to hopefully hold through Jan 20th. Happy Turkey Day, repugs!"
2020-11-18T01:16:41.000Z,0,0,0,0,"@KamalaHarris Can you read the back of a mask box . Doesn't protect you from anything flu ,covid 19 or a virus.  Stupid is as stupid does.  I can read.  You have no  Proof of it helping anyone, or the lock downs . Your paid for .... https://t.co/kzfYCLvHFW"
2020-11-18T01:16:41.000Z,0,0,1,0,Q2. How is the current rise in COVID-19 cases impacting you? #CripLib
2020-11-18T01:16:41.000Z,0,0,0,0,"@BonitaEsBalding No these studies are pretty large, something like 40,000 participants in the Pfizer study. There were less than 100 cases of COVID detected within that group of 40,000."
2020-11-18T01:16:41.000Z,0,0,1,0,@jeffbruce35 The doctors reveal they had pranked Trump and the COVID he had was just his syphilis acting up.
2020-11-18T01:16:41.000Z,0,0,0,0,@CMOH_Alberta can we get the fed govt's covid alert app activated for Alberta instead of ABtrace app that has been found to have some accuracy issues?
2020-11-18T01:16:41.000Z,0,0,0,0,My administration modified guidance in order to increase hospitalized covid patients while failing to keep schools physically open in the long-run. https://t.co/feVNKXaXvG
2020-11-18T01:16:41.000Z,0,0,0,0,"@mini_bubbly What a brave young man. I think it's unfair that staff must do this, I wish we had folks trained as the ""Covid-19 Task force"" to escort non compliant folks out of establishments, if there is further trouble then to fine/arrest them."
2020-11-18T01:16:41.000Z,0,0,0,0,"Eight years ago today the Logger Bar reopened with the help of family, friends, and our extended community. We will see you after COVID! https://t.co/LI4Aebc9cX"
2020-11-18T01:16:40.000Z,0,0,0,0,"@_GLJ09 Westbrook got injured last season , he still healing from that + covid. Wall didn’t even play last season cause his injury. He had time to recover and is ready to play. Either way why would you want somebody that doesn’t even wanna play for the rockets anymore?"
2020-11-18T01:16:40.000Z,0,0,0,0,So mouthwash can kill covid in 30 seconds? So why we need a vaccine or lockdowns??
2020-11-18T01:16:40.000Z,0,0,0,0,@drdavidsamadi Isn't it also very interesting how covid cases are now on the rise and flu cases are at an all time low!!  I knew this would happen too...gotta keep the narrative going right!  Well for a now I guess lol.
2020-11-18T01:16:39.000Z,0,0,0,0,@KassieMcClung Well I can tell you in Prague Oklahoma’s small community they have 2 kids that are seriously ill with covid hospitalized in ICU and still don’t have a mask mandate at their schools.
2020-11-18T01:16:39.000Z,0,0,0,0,Alito: COVID Has Highlighted ‘Disturbing’ Trend of ‘Lawmaking by Executive Fiat’ and ‘Rule by Experts’ (VIDEO) – True Pundit https://t.co/shzVtrziux
2020-11-18T01:16:39.000Z,0,0,0,0,"Governor Beshear signed an executive order designating $15 million in federal relief funds for the Healthy at Home Utility Relief Fund. The fund will provide relief to Kentuckians affected by COVID-19 that need assistance with water, wastewater, electric, or natural gas service. https://t.co/rB7uuydtgp"
2020-11-18T01:16:39.000Z,0,0,0,0,@CoxsTench @TwitchyTeam Because COVID is most active in the middle of the night.  🙄
2020-11-18T01:16:39.000Z,0,0,0,0,"I haven't forgotten what I promised. I still plan to make good. About teas good for helping fight Covid I mean. It's just difficult to come up with solid suggestions bcz I have teas that are good for pain, inflammation, sore throat, coughing, headache, etc etc but"
2020-11-18T01:16:39.000Z,0,0,0,0,"Healthy habits to help slow the spread of COVID-19:
👏Wash your hands for at least 20 seconds
🚪Clean and then disinfect frequently used surfaces
😷Wear a face cloth covering when around others
🏡Stay home as much as possible, especially if you’re sick
🤧Cover coughs and sneezes"
2020-11-18T01:16:39.000Z,0,0,0,0,"@realDonaldTrump WHAT FROM THE VOTERS YOU MURDERED BY SPREADING COVID-19 AT YOUR RALLIES, BY NOT WEARING MASKS AND PRACTISING SOCIAL DISTANCING."
