ID,Date,Retweets,Replies,Likes,Quotes,Tweet
1329639050387496960,2020-11-20T04:13:47.000Z,0,0,0,0,@berrybram @channel5_tv Some things come back don't they. It's a cycle. Like Fashion comes around in 10 year  lots! Covid will become the New Small Pox virus. People will need to vaccine like we did with all the other bad things.
1329639049095688193,2020-11-20T04:13:47.000Z,0,0,0,0,@JackPosobiec Covid comes out at 10PM. Everyone knows that.
1329639048810356737,2020-11-20T04:13:47.000Z,0,0,0,0,"@PFlubski @nicksyrianoudis @BreitbartNews They locked down while the hospitals were full of people about to die???? Scandalous.

""Day 18.5: The median time it takes from the first symptoms of COVID-19 to death is 18.5 days.""

""First symptoms"" show up to 2 weeks after infection. That's *gasp* an entire month."
1329639047682093061,2020-11-20T04:13:47.000Z,0,0,0,0,The facts: COVID-19 Early retirement distributions  via #tax #401k @AICPA https://t.co/jTSD3sWAN2
1329639046767927296,2020-11-20T04:13:46.000Z,0,0,0,0,@NC_Governor Why don’t you show us what your wonderful administrators are doing?  How many students are placed on legally binding behavioral programs for bs lies these teachers MAKE UP.  Instead of fake covid numbers... let’s see those numbers roy
1329639046184906752,2020-11-20T04:13:46.000Z,0,0,0,0,@AlexiLalas Miami with 5 guys out for tomorrow’s game due to COVID. Thoughts?
1329639041252388864,2020-11-20T04:13:45.000Z,0,0,0,0,@RobertEllis9372 The state should provide medical services for those effected by covid. Please inquire with 1 of the 4 agencies I’ve mentioned &amp; you should be able to get some assistance.
1329639041051074561,2020-11-20T04:13:45.000Z,0,0,0,0,"@restoremorality I've been losing my mind for the past 4+ years, but COVID's made it worse"
1329639039348170752,2020-11-20T04:13:45.000Z,0,0,0,0,"@NicolaSturgeon
@ScotGovFM
@theSNP
WATCH first European nation get Russia's Sputnik V vaccine against Covid-19 https://t.co/k42jgggKph"
1329639135078797312,2020-11-20T04:14:07.000Z,0,0,0,0,"@realDonaldTrump @RudyGiuliani 

TRUMPS LACK OF ACTION AGAINST COVID-19 IS CRIMINAL.... FORGET ALL THE OTHER SHIT https://t.co/2WdpMQRMvs"
1329639131928948736,2020-11-20T04:14:07.000Z,0,0,0,0,comparing covid risk to avalanche terrain has made me completely re-evaluate everything
1329639131287269376,2020-11-20T04:14:07.000Z,0,0,0,0,"I know parents and grandparents are playing additional roles now with COVID-19 and you all deserve to be acknowledged often but especially on this National day of celebration!Rodriguez wants to thank you !! #ThankAParent #NationalparentInvolvementDay 
@SMCISD_Rod https://t.co/iLeqEjngD0"
1329639128858759169,2020-11-20T04:14:06.000Z,0,0,0,0,The CDC Is Now Strongly Recommending You Don't Travel For Thanksgiving https://t.co/SCcPoYpZuM
1329639128330366977,2020-11-20T04:14:06.000Z,0,0,0,0,@ChristmasSnolf That would about half America. And 1/5 of Europe...... Now covid are bad but damn I wish they did die from it just to cleen up all morons
1329639128007249921,2020-11-20T04:14:06.000Z,0,0,0,0,"Top WHO official in Europe says face masks could prevent COVID lockdowns, and school closures don't work - CBS News https://t.co/4fYqtciJtg https://t.co/i3qG89EJa4"
1329639127281664000,2020-11-20T04:14:06.000Z,0,0,0,0,Covid fucked it up for me this year https://t.co/0SNyTFXWU2
1329639126572826624,2020-11-20T04:14:05.000Z,0,0,0,0,@RT_com @velocirapture23 Enough with this Covid propaganda.
1329639126279262209,2020-11-20T04:14:05.000Z,0,0,0,0,"@Surabees @DonaldJTrumpJr You're so blind.  They aren't unified!  The swamp hasn't been drained yet. 

And you think Grassley's covid is an accident?"
1329639126178570240,2020-11-20T04:14:05.000Z,0,0,0,0,More sick people = more customers for @jkenney’s friends. His whole COVID strategy is becoming pretty clear... #ableg #COVID19AB https://t.co/8XVb9itZDH
1329639217207631872,2020-11-20T04:14:27.000Z,0,0,0,0,"Don't ""unpatriotic"" me, that's fucking pathetic

""Unpatriotic"" is the slew of GOP lawmakers too spineless to even try and stop the erosion of democracy at Trump's beck and call

You love this country? Then govern. 2,000 Americans died from COVID yesterday. Do something about it https://t.co/Gtjevj52YD"
1329639217169899526,2020-11-20T04:14:27.000Z,0,0,0,0,"For those of you grieving the loss of loved ones due to COVID, I'm so sorry for your loss. I'm sorry you probably didn't even get to say goodbye in person due to the strict guidelines. I'm sorry you live in a country that has some deep soul rot and can't recognize human life."
1329639216511389709,2020-11-20T04:14:27.000Z,0,0,0,0,How soon into Biden’s presidency will Trump say he’s failing on COVID because people will still be dying? Day 1 is my guess.
1329639215680741377,2020-11-20T04:14:27.000Z,0,0,0,0,"Currenlty trying to figure out ways to make money from home cause I'm tired of covid fucking with my lively-hood 

send help"
1329639215391444992,2020-11-20T04:14:27.000Z,0,0,0,0,"@katnandu @MaddowBlog Every day, my partner goes to work at the local hospital where it’s his job to improvise new Covid rooms.  They attempt to ventilate them so that the patient air stays in the room and doesn’t exit to the rest of the hospital.  This isn’t pretend."
1329639211406790656,2020-11-20T04:14:26.000Z,0,0,0,0,"Turns out Covid really came from a Wuhan vampire bat so, you gotta go with the science and keep people locked up after dark. https://t.co/bQjRuziICu"
1329639211285295105,2020-11-20T04:14:26.000Z,0,0,0,0,"@Michael121811 @lbox327 @star2000dancer @daystar1952 @MileHigh_Scribs @DreamsUtopia @drwaheeduddin @OpChemtrails @BroadcastTheory @lulabelldesigns @Dansclimbingla1 @five4life @Loggerhead_ @LuvsShinyObjs @MollyGalt @DanPeacock12 @EdwardGheer @gcb910 @KindeandTrue @MagickalG @QSimpleAnswers @bonlives68 @iamlisakirk @JustAnon12 @thempiricalkid @GPanderino @DaysOfNoah2 @FULLDEFENCE @allycl17 @Seanjensen66 @jconnor19662 @GostaLoveMoney @SandraC80012392 @MichaelBringsli @CharismaAlasta2 @Surfhempster @BFrownfelterND @AshleyMcBride3 @kirkwoodjones @Louie16472283 @Wallace_Noll @Jomc20 @KathyNi93017255 @Rapunzel_39 @LauraWanek @OurSpraying @graydaygamer @Jo_Ozymandias @luvjbm @aurora_c__ It would make more sense aye?
Toxins have exterminated insects in the wilderness so far, and probably more human deaths then the deliberate covid killing agenda."
1329639209666301952,2020-11-20T04:14:25.000Z,0,0,0,0,"For the love of God, everyone: Wear your masks and keep your distance from each other – at least 2 mattes – as much as possible. 

And, to those anti-maskers tossing Covid conspiracies around, stop it. You're playing the part in the deaths of thousands. #CDNpoli #ONpoli https://t.co/HwpnnredJG"
1329639208949075968,2020-11-20T04:14:25.000Z,0,0,0,0,"apparently one of covid symptoms is confusion,, that that explains a lot"
1329639205337788416,2020-11-20T04:14:24.000Z,0,0,0,0,Covid vaccine to send flight costs skyrocketing amid increased demand for holidays https://t.co/zS1HHU2CEE
1329639302649802752,2020-11-20T04:14:47.000Z,0,0,0,0,Oklahoma judge who survived 1995 OKC bombing succumbs to COVID-19 https://t.co/6Iou96cZwB
1329639302175854596,2020-11-20T04:14:47.000Z,0,0,0,0,New South Wales marks 13 consecutive days of zero COVID-19 cases https://t.co/RzNj4TPrHI @SkyNews
1329639298883342337,2020-11-20T04:14:47.000Z,0,0,0,0,i had ONE UIL lit criticism competition (the rest got cancelled bc covid) 🧍🏽
