,date,processed_text,tone,score,latitude,longitude,hashtags,place,id
3277,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267196740190568448
3278,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.748181,-73.988421,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267191070229749772
3279,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267188236297867274
3280,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267199574139166728
3281,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751656,-73.97516,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267202410352697352
3282,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.867653000000004,-73.92,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1307116231028285440
3283,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1307113207765573635
3284,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1308257671720599555
3285,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1308811424689459200
3286,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295751174658940928
3287,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295757215127736323
3288,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.755494,-73.97447,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295769292575780864
3289,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.761103999999996,-73.968036,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295766275365445640
3290,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.765243,-73.980438,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295760235848761347
3291,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295772313447735297
3292,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.962714,-118.27600000000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1295778358014480384
3293,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1295775333728358403
3294,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,34.06646,-118.30863000000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1295781393310654465
